Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1650.0,2020.0,September
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,66.3992505,2020.0,January
2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,151.460595,2020.0,September
2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,24.75,2020.0,February
2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,14.85,2020.0,February
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,chiratae ventures,Series A,74.25,2020.0,January
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,1237.5,2020.0,October
2019-12-12,Ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,49.5,2019.0,December
2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,ping an global voyager fund,Series D,577.5,2019.0,June
2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"mumbai angels, ravikanth reddy",Seed,412.5,2019.0,March
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"saif partners, spring canter investment ltd.",Series F,165.0,2019.0,December
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"paytm, nptk, sabre partners and neoplux",Series C,99.0,2019.0,December
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,247.5,2019.0,December
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,unknown,Debt Funding,48.675,2019.0,December
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,16.5,2019.0,December
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,manipal education and medical group (memg),Seed Round,412.5,2019.0,November
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,1905.75,2019.0,December
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"sequoia, capitalg, accel",Series H,1237.5,2019.0,November
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"sauce.vc, rainforest ventures",Series B,4.0095,2019.0,November
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",Seed,12.375,2019.0,November
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,rb investments,Venture,0.0,2019.0,November
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"dg daiwa ventures, dg incubation",Series B,99.0,2019.0,November
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,214.5,2019.0,November
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,fintech,Debt Funding,143.64293625,2019.0,November
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,dream incubator,Seed Funding,10.725,2019.0,December
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","altimeter capital, sutter hill ventures",Series C,1113.75,2019.0,November
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,startup buddy,Seed,2.475,2019.0,November
